ID;TERMS (PT-NPT);RELATIONS;PT;MT
6048;Agricultural Advisory Committee;USE;EU agriculture committee;5606 agricultural policy
6048;Agricultural Committee of the EC;USE;EU agriculture committee;5606 agricultural policy
6048;Agricultural Management Committee;USE;EU agriculture committee;5606 agricultural policy
6252;Ahvenenmaa;USE;Åland;7211 regions of EU Member States
6252;Ahvenenmaa;USE;Åland;7236 political geography
8499;Alba;;;7211 regions of EU Member States
1125;Albania;;;7206 Europe
1125;Albania;;;7231 economic geography
1125;Albania;;;7236 political geography
1177;Alentejo;;;7211 regions of EU Member States
1187;Algarve;;;7211 regions of EU Member States
1196;Algeria;;;7221 Africa
1196;Algeria;;;7231 economic geography
1196;Algeria;;;7236 political geography
5845;Alpine Region;;;1616 regions and regional policy
5845;Alps;USE;Alpine Region;1616 regions and regional policy
1430;Alsace;;;7211 regions of EU Member States
7869;Alytaus apskritis;USE;Alytus county;7211 regions of EU Member States
7869;Alytus county;;;7211 regions of EU Member States
5719;Alzheimer's disease;USE;disease of the nervous system;2841 health
1587;America;;;7216 America
5799;American Indian;USE;indigenous population;2816 demography and population
3411;American Samoa;;;7226 Asia and Oceania
3411;American Samoa;;;7231 economic geography
1587;American countries;USE;America;7216 America
2170;American intergovernmental organisation;USE;American organisation;7616 extra-European organisations
2170;American intergovernmental organization;USE;American organisation;7616 extra-European organisations
2170;American organisation;;;7616 extra-European organisations
2170;American organization;USE;American organisation;7616 extra-European organisations
2170;American regional organisation;USE;American organisation;7616 extra-European organisations
2170;American regional organization;USE;American organisation;7616 extra-European organisations
1664;Amnesty International;;;7626 non-governmental organisations
8374;Amsterdam Island;USE;French Southern and Antarctic Territories;7241 overseas countries and territories
6142;Amsterdam Treaty;USE;Treaty of Amsterdam;1011 European Union law
1873;Andalusia;;;7211 regions of EU Member States
1190;Andean Community;;;7616 extra-European organisations
1191;Andean Community countries;;;7231 economic geography
1190;Andean Group;USE;Andean Community;7616 extra-European organisations
1191;Andean Group countries;USE;Andean Community countries;7231 economic geography
1190;Andean Pact;USE;Andean Community;7616 extra-European organisations
7205;Andean Parliament;;;7616 extra-European organisations
1874;Andorra;;;7206 Europe
1874;Andorra;;;7236 political geography
5162;Anglicanism;;;2831 culture and religion
1876;Angola;;;7221 Africa
1876;Angola;;;7231 economic geography
3402;Anguilla;;;7216 America
3402;Anguilla;;;7241 overseas countries and territories
1983;Antarctic;USE;Antarctica;5211 natural environment
2108;Antarctic Ocean;;;5211 natural environment
1983;Antarctic continent;USE;Antarctica;5211 natural environment
1983;Antarctica;;;5211 natural environment
3401;Antigua and Barbuda;;;7216 America
3401;Antigua and Barbuda;;;7231 economic geography
3401;Antigua and Barbuda;;;7236 political geography
4698;Antiope;USE;broadcast videography;3226 communications
2070;Anzus;;;7621 world organisations
2070;Anzus Council;USE;Anzus;7621 world organisations
2079;Anzus countries;;;7236 political geography
1104;Appenzell;USE;hard cheese;6016 processed agricultural produce
2570;Apulia;;;7211 regions of EU Member States
2328;Aquitaine;;;7211 regions of EU Member States
1793;Arab Common Market;;;7616 extra-European organisations
1794;Arab Common Market countries;;;7231 economic geography
5530;Arab Gulf Cooperation Council;USE;Gulf Cooperation Council;7616 extra-European organisations
1657;Arab League;;;7616 extra-European organisations
1658;Arab League countries;;;7236 political geography
8300;Arab Maghreb Union;;;7616 extra-European organisations
690;Arab Republic of Egypt;USE;Egypt;7221 Africa
690;Arab Republic of Egypt;USE;Egypt;7231 economic geography
690;Arab Republic of Egypt;USE;Egypt;7236 political geography
c_6e703074;Arab countries;USE;Arab world;7236 political geography
2171;Arab intergovernmental organisation;USE;Arab organisation;7616 extra-European organisations
2171;Arab intergovernmental organization;USE;Arab organisation;7616 extra-European organisations
2171;Arab organisation;;;7616 extra-European organisations
2171;Arab organization;USE;Arab organisation;7616 extra-European organisations
c_6e703074;Arab region;USE;Arab world;7236 political geography
2171;Arab regional organisation;USE;Arab organisation;7616 extra-European organisations
2171;Arab regional organization;USE;Arab organisation;7616 extra-European organisations
c_6e703074;Arab states;USE;Arab world;7236 political geography
c_6e703074;Arab world;;;7236 political geography
4121;Arab-African cooperation;;;0811 cooperation policy
4121;Arab-African dialogue;USE;Arab-African cooperation;0811 cooperation policy
3501;Arab-Israeli conflict;USE;Palestine question;0816 international security
8517;Arad;;;7211 regions of EU Member States
2354;Aragon;;;7211 regions of EU Member States
2503;Arctic;;;5211 natural environment
2503;Arctic Circle;USE;Arctic;5211 natural environment
c_764bcd4e;Arctic Council;;;7621 world organisations
2109;Arctic Ocean;;;5211 natural environment
2503;Arctic continent;USE;Arctic;5211 natural environment
2525;Argentina;;;7216 America
2525;Argentina;;;7231 economic geography
2525;Argentina;;;7236 political geography
2525;Argentine Republic;USE;Argentina;7216 America
2525;Argentine Republic;USE;Argentina;7231 economic geography
2525;Argentine Republic;USE;Argentina;7236 political geography
8521;Arges;;;7211 regions of EU Member States
601;Armagnac;USE;spirits;6021 beverages and sugar
5445;Armenia;;;7206 Europe
5445;Armenia;;;7236 political geography
3499;Armenian question;;;0816 international security
2820;Aruba;;;7216 America
2820;Aruba;;;7241 overseas countries and territories
196;Arusha Convention;;;1016 European construction
6336;AsDB;USE;Asian Development Bank;7616 extra-European organisations
3830;Ascension Island;USE;Saint Helena;7221 Africa
3830;Ascension Island;USE;Saint Helena;7241 overseas countries and territories
5653;Ashkali;USE;Roma;2821 social framework
2838;Asia;;;7226 Asia and Oceania
6131;Asia-Pacific Economic Cooperation Council;USE;Asia–Pacific economic cooperation;7616 extra-European organisations
6131;Asia-Pacific Economic Cooperation Council;USE;Asia–Pacific economic cooperation;7621 world organisations
6131;Asia-Pacific Economic Cooperation Forum;USE;Asia–Pacific economic cooperation;7616 extra-European organisations
6131;Asia-Pacific Economic Cooperation Forum;USE;Asia–Pacific economic cooperation;7621 world organisations
6336;Asian Development Bank;;;7616 extra-European organisations
2094;Asian Productivity Organisation;;;7616 extra-European organisations
2094;Asian Productivity Organization;USE;Asian Productivity Organisation;7616 extra-European organisations
120;Asian and Pacific Council;;;7616 extra-European organisations
3725;Asian and Pacific Development Centre;;;7616 extra-European organisations
2838;Asian countries;USE;Asia;7226 Asia and Oceania
8464;Asian flu;USE;avian influenza;5631 agricultural activity
2172;Asian intergovernmental organisation;USE;Asian organisation;7616 extra-European organisations
2172;Asian intergovernmental organization;USE;Asian organisation;7616 extra-European organisations
2172;Asian organisation;;;7616 extra-European organisations
2172;Asian organization;USE;Asian organisation;7616 extra-European organisations
2172;Asian regional organisation;USE;Asian organisation;7616 extra-European organisations
2172;Asian regional organization;USE;Asian organisation;7616 extra-European organisations
4615;Asian-Pacific Parliamentarians' Union;;;7616 extra-European organisations
6131;Asia–Pacific economic cooperation;;;7616 extra-European organisations
6131;Asia–Pacific economic cooperation;;;7621 world organisations
594;Associated African and Malagasy States;USE;AAMS countries;7231 economic geography
116;Association Committee;USE;Association Council (EU);1016 European construction
116;Association Council (EU);;;1016 European construction
7415;Association of Caribbean States;;;7616 extra-European organisations
1838;Association of South-East Asian Nations;USE;ASEAN;7616 extra-European organisations
3822;Asturias;USE;Principality of Asturias;7211 regions of EU Member States
2110;Atlantic;USE;Atlantic Ocean;5211 natural environment
2199;Atlantic Alliance;USE;NATO;7621 world organisations
5443;Atlantic Arc;;;1616 regions and regional policy
2199;Atlantic Community;USE;NATO;7621 world organisations
2110;Atlantic Ocean;;;5211 natural environment
2110;Atlantic Region;USE;Atlantic Ocean;5211 natural environment
7889;Attica;;;7211 regions of EU Member States
5184;Audiovisual programmes industry;USE;programmes industry;3226 communications
2547;Austral Islands;USE;French Polynesia;7226 Asia and Oceania
2547;Austral Islands;USE;French Polynesia;7231 economic geography
2547;Austral Islands;USE;French Polynesia;7241 overseas countries and territories
4160;Australia;;;7226 Asia and Oceania
4160;Australia;;;7231 economic geography
4160;Australia;;;7236 political geography
4353;Austria;;;7206 Europe
4353;Austria;;;7231 economic geography
4353;Austria;;;7236 political geography
6282;Autonomous City of Ceuta;USE;Ceuta;7211 regions of EU Member States
6283;Autonomous City of Melilla;USE;Melilla;7211 regions of EU Member States
864;Autonomous Communities of Spain;USE;regions of Spain;7211 regions of EU Member States
1873;Autonomous Community of Andalusia;USE;Andalusia;7211 regions of EU Member States
2354;Autonomous Community of Aragon;USE;Aragon;7211 regions of EU Member States
3385;Autonomous Community of Cantabria;USE;Cantabria;7211 regions of EU Member States
3384;Autonomous Community of Castile-La Mancha;USE;Castile-La Mancha;7211 regions of EU Member States
3382;Autonomous Community of Castile-Leon;USE;Castile-Leon;7211 regions of EU Member States
5273;Autonomous Community of Catalonia;USE;Catalonia;7211 regions of EU Member States
869;Autonomous Community of Extremadura;USE;Extremadura;7211 regions of EU Member States
1127;Autonomous Community of Galicia;USE;Galicia;7211 regions of EU Member States
2038;Autonomous Community of Navarre;USE;Navarre;7211 regions of EU Member States
3387;Autonomous Community of la Rioja;USE;Rioja;7211 regions of EU Member States
3386;Autonomous Community of the Balearic Islands;USE;Balearic Islands;7211 regions of EU Member States
2289;Autonomous Community of the Basque country;USE;Basque Country;7211 regions of EU Member States
4172;Autonomous Community of the Canary Islands;USE;Canary Islands;7211 regions of EU Member States
3822;Autonomous Community of the Principality of Asturias;USE;Principality of Asturias;7211 regions of EU Member States
3392;Autonomous Community of the Region of Murcia;USE;Region of Murcia;7211 regions of EU Member States
5246;Autonomous Province of Bolzano;;;7211 regions of EU Member States
5247;Autonomous Province of Trento;;;7211 regions of EU Member States
1730;Autonomous region of Madeira;USE;Madeira;7211 regions of EU Member States
4364;Auvergne;;;7211 regions of EU Member States
c_0a700c19;Auvergne-Rhône-Alpes;;;7211 regions of EU Member States
5454;Azerbaijan;;;7206 Europe
5454;Azerbaijan;;;7236 political geography
5076;Azores;;;7211 regions of EU Member States
448275;BBI Joint Undertaking;USE;European Joint Undertaking;1006 EU institutions and European civil service
c_4768a12e;BEREC;USE;Body of European Regulators for Electronic Communications;1006 EU institutions and European civil service
451912;BES islands;USE;Bonaire, Saint Eustatius and Saba;7216 America
451912;BES islands;USE;Bonaire, Saint Eustatius and Saba;7241 overseas countries and territories
4859;BEUC;;;7611 European organisations
5972;BFOR;USE;programme budgeting;2436 public finance and budget policy
5044;BIS;USE;Bank for International Settlements;7621 world organisations
4588;BLEU;USE;Belgo-Luxembourg Economic Union;7611 European organisations
115;BOD;USE;board of directors;4006 business organisation
4671;BOP;USE;balance of payments;2406 monetary relations
73;BOP assistance;USE;balance of payments assistance;1021 EU finance
c_964c9649;BRICS;USE;BRICS countries;7231 economic geography
c_964c9649;BRICS countries;;;7231 economic geography
6112;BSE;USE;bovine spongiform encephalopathy;5631 agricultural activity
8506;Bacau;;;7211 regions of EU Member States
4560;Baden-Württemberg;;;7211 regions of EU Member States
4560;Baden-Württemberg (Land);USE;Baden-Württemberg;7211 regions of EU Member States
4567;Bahamas;;;7216 America
4567;Bahamas;;;7231 economic geography
4567;Bahamas;;;7236 political geography
4572;Bahrain;;;7226 Asia and Oceania
4572;Bahrain;;;7231 economic geography
4572;Bahrain;;;7236 political geography
451941;Bailiwick of Guernsey;USE;Guernsey;7206 Europe
451991;Bailiwick of Jersey;USE;Jersey ;7206 Europe
3386;Balearic Islands;;;7211 regions of EU Member States
4679;Bali;;;7226 Asia and Oceania
4690;Balkan countries;USE;Western Balkans;7231 economic geography
5774;Baltic Republics;USE;Baltic States;7206 Europe
1871;Baltic Sea;;;5211 natural environment
8396;Baltic Sea States Council;USE;Council of the Baltic Sea States;7611 European organisations
c_12742da8;Baltic Sea region;;;1616 regions and regional policy
5774;Baltic States;;;7206 Europe
4732;Bangladesh;;;7226 Asia and Oceania
4732;Bangladesh;;;7231 economic geography
5044;Bank for International Settlements;;;7621 world organisations
7837;Banská Bystrica region;;;7211 regions of EU Member States
4816;Barbados;;;7216 America
4816;Barbados;;;7231 economic geography
4816;Barbados;;;7236 political geography
6373;Barcelona Process;USE;Union for the Mediterranean;0811 cooperation policy
c_1c2d26cf;Barents Sea;;;5211 natural environment
4823;Basilicata;;;7211 regions of EU Member States
2289;Basque Country;;;7211 regions of EU Member States
5799;Basques;USE;indigenous population;2816 demography and population
1611;Basutoland;USE;Lesotho;7221 Africa
1611;Basutoland;USE;Lesotho;7231 economic geography
4835;Bavaria;;;7211 regions of EU Member States
4835;Bavaria (Free State of);USE;Bavaria;7211 regions of EU Member States
5458;Belarus;;;7206 Europe
5458;Belarus;;;7236 political geography
5517;Belgian communities;;;7211 regions of EU Member States
4839;Belgium;;;7206 Europe
4839;Belgium;;;7231 economic geography
4839;Belgium;;;7236 political geography
4588;Belgo-Luxembourg Economic Union;;;7611 European organisations
3514;Belgrade Conference;USE;OSCE;7621 world organisations
4841;Belize;;;7216 America
4841;Belize;;;7231 economic geography
4841;Belize;;;7236 political geography
4844;Benelux;;;7611 European organisations
4844;Benelux Economic Union;USE;Benelux;7611 European organisations
4845;Benelux countries;;;7231 economic geography
4846;Benin;;;7221 Africa
4846;Benin;;;7231 economic geography
4847;Berlin;;;7211 regions of EU Member States
4847;Berlin (Land);USE;Berlin;7211 regions of EU Member States
4848;Bermuda;;;7216 America
4848;Bermuda;;;7241 overseas countries and territories
4862;Bhutan;;;7226 Asia and Oceania
4862;Bhutan;;;7231 economic geography
7397;Bible;USE;sacred text;2831 culture and religion
8511;Bihor;;;7211 regions of EU Member States
5427;Bilbao Agency;USE;European Agency for Safety and Health at Work;1006 EU institutions and European civil service
4699;Bildschirmtext;USE;interactive videotex;3226 communications
448275;Bio-based Industries Joint Undertaking;USE;European Joint Undertaking;1006 EU institutions and European civil service
8512;Bistrita-Nasaud;;;7211 regions of EU Member States
5736;Black Sea;;;5211 natural environment
8333;Blagoevgrad region;;;7211 regions of EU Member States
7998;Blekinge county;;;7211 regions of EU Member States
c_4768a12e;Body of European Regulators for Electronic Communications;;;1006 EU institutions and European civil service
4662;Bolivarian Republic of Venezuela;USE;Venezuela;7216 America
4662;Bolivarian Republic of Venezuela;USE;Venezuela;7231 economic geography
4662;Bolivarian Republic of Venezuela;USE;Venezuela;7236 political geography
5020;Bolivia;;;7216 America
5020;Bolivia;;;7231 economic geography
5020;Bolivia;;;7236 political geography
451912;Bonaire, Saint Eustatius and Saba;;;7216 America
451912;Bonaire, Saint Eustatius and Saba;;;7241 overseas countries and territories
5026;Borneo;;;7226 Asia and Oceania
5469;Bosnia and Herzegovina;;;7206 Europe
5469;Bosnia and Herzegovina;;;7231 economic geography
5469;Bosnia and Herzegovina;;;7236 political geography
5469;Bosnia-Herzegovina;USE;Bosnia and Herzegovina;7206 Europe
5469;Bosnia-Herzegovina;USE;Bosnia and Herzegovina;7231 economic geography
5469;Bosnia-Herzegovina;USE;Bosnia and Herzegovina;7236 political geography
8505;Botosani;;;7211 regions of EU Member States
5029;Botswana;;;7221 Africa
5029;Botswana;;;7231 economic geography
c_f2f1fb47;Bourgogne-Franche-Comté;;;7211 regions of EU Member States
5653;Boyash;USE;Roma;2821 social framework
8528;Braila;;;7211 regions of EU Member States
5470;Brandenburg;;;7211 regions of EU Member States
5470;Brandenburg (Land);USE;Brandenburg;7211 regions of EU Member States
435;Brandt report;USE;North-South relations;0806 international affairs
8500;Brasov;;;7211 regions of EU Member States
7830;Bratislava region;;;7211 regions of EU Member States
5040;Brazil;;;7216 America
5040;Brazil;;;7231 economic geography
5040;Brazil;;;7236 political geography
c_964c9649;Brazil, Russia, India, China and South Africa;USE;BRICS countries;7231 economic geography
5039;Bremen;;;7211 regions of EU Member States
5039;Bremen (Free Hanseatic City of);USE;Bremen;7211 regions of EU Member States
1107;Bresse blue;USE;blue-veined cheese;6016 processed agricultural produce
1858;Bretton Woods;USE;Bretton Woods Agreement;2406 monetary relations
1858;Bretton Woods Agreement;;;2406 monetary relations
c_8a6f744c;Brexit;USE;withdrawal from the EU;1016 European construction
1106;Brie;USE;soft cheese;6016 processed agricultural produce
8371;British Antarctic Territory;;;7241 overseas countries and territories
25;British Commonwealth;USE;Commonwealth;7621 world organisations
25;British Community;USE;Commonwealth;7621 world organisations
4841;British Honduras;USE;Belize;7216 America
4841;British Honduras;USE;Belize;7231 economic geography
4841;British Honduras;USE;Belize;7236 political geography
8373;British Indian Ocean Territory;;;7226 Asia and Oceania
8373;British Indian Ocean Territory;;;7241 overseas countries and territories
1299;British Virgin Islands;;;7216 America
1299;British Virgin Islands;;;7241 overseas countries and territories
2024;British West Indies;;;7216 America
3778;British overseas countries and territories;USE;United Kingdom OCT;7241 overseas countries and territories
5041;Brittany;;;7211 regions of EU Member States
5049;Brunei;;;7226 Asia and Oceania
5049;Brunei;;;7231 economic geography
5049;Brunei Darussalam;USE;Brunei;7226 Asia and Oceania
5049;Brunei Darussalam;USE;Brunei;7231 economic geography
3039;Brussels region;;;7211 regions of EU Member States
1604;Brussels sprout;USE;leaf vegetable;6006 plant product
2069;Brussels tariff nomenclature;USE;tariff nomenclature;2011 tariff policy
3039;Brussels-capital region;USE;Brussels region;7211 regions of EU Member States
8490;Bucarest;USE;Bucharest — Ilfov;7211 regions of EU Member States
8490;Bucharest — Ilfov;;;7211 regions of EU Member States
5030;Buddhism;;;2831 culture and religion
7339;Buddhist;;;2821 social framework
6730;Buddhist law;;;1206 sources and branches of the law
5063;Bulgaria;;;7206 Europe
5063;Bulgaria;;;7231 economic geography
5063;Bulgaria;;;7236 political geography
1579;Bundesland;USE;Federation State;0406 political framework
4174;Bureau of the EP;;;1006 EU institutions and European civil service
8329;Burgas region;;;7211 regions of EU Member States
6196;Burgenland;;;7211 regions of EU Member States
5032;Burgundy;;;7211 regions of EU Member States
1236;Burkina Faso;;;7221 Africa
1236;Burkina Faso;;;7231 economic geography
4966;Burma;USE;Burma/Myanmar;7226 Asia and Oceania
4966;Burma;USE;Burma/Myanmar;7231 economic geography
4966;Burma/Myanmar;;;7226 Asia and Oceania
4966;Burma/Myanmar;;;7231 economic geography
5072;Burundi;;;7221 Africa
5072;Burundi;;;7231 economic geography
215;Business Cooperation Centre;USE;inter-company cooperation;4006 business organisation
6148;BusinessEurope;;;7611 European organisations
6148;BusinessEurope;;;7626 non-governmental organisations
8529;Buzau;;;7211 regions of EU Member States
6337;CABEI;USE;Central American Bank for Economic Integration;7616 extra-European organisations
4586;CACEU;USE;Central African Economic and Monetary Community;7616 extra-European organisations
3727;CACM;USE;Central American Common Market;7616 extra-European organisations
1844;CACM countries;;;7231 economic geography
5520;CAD;USE;computer assisted design;3236 information technology and data processing
4587;CAEEU countries;USE;CAEMC countries;7231 economic geography
4586;CAEMC;USE;Central African Economic and Monetary Community;7616 extra-European organisations
4587;CAEMC countries;;;7231 economic geography
8370;CAEU;USE;Council of Arab Economic Unity;7616 extra-European organisations
8369;CAEU countries;;;7231 economic geography
2116;CAIS;USE;Central American Integration System;7616 extra-European organisations
2117;CAIS countries;;;7231 economic geography
4586;CAMU;USE;Central African Economic and Monetary Community;7616 extra-European organisations
2443;CAP;USE;common agricultural policy;5606 agricultural policy
5320;CB;USE;waveband;3226 communications
8396;CBSS;USE;Council of the Baltic Sea States;7611 European organisations
118;CCC;USE;Council for Cultural Cooperation;7611 European organisations
6129;CCC;USE;World Customs Organisation;7621 world organisations
7186;CCNR;USE;Central Commission for Navigation on the Rhine;7611 European organisations
435061;CCS;USE;carbon capture and storage;6411 technology and technical regulations
4381;CCT;USE;common customs tariff;2011 tariff policy
4080;CCT duties;;;1021 EU finance
3871;CD;USE;record;3226 communications
3872;CD-ROM;USE;optical medium;3226 communications
5705;CD-ROM read head;USE;disc drive;3236 information technology and data processing
6338;CDB;USE;Caribbean Development Bank;7616 extra-European organisations
118;CDCULT;USE;Council for Cultural Cooperation;7611 European organisations
5282;CDE;USE;Centre for the Development of Enterprise;7626 non-governmental organisations
118;CDED;USE;Council for Cultural Cooperation;7611 European organisations
118;CDESR;USE;Council for Cultural Cooperation;7611 European organisations
5282;CDI;USE;Centre for the Development of Enterprise;7626 non-governmental organisations
434909;CDM;USE;clean development mechanism;5206 environmental policy
6709;CDP;USE;common security and defence policy;1016 European construction
118;CDPAT;USE;Council for Cultural Cooperation;7611 European organisations
5644;CEB;USE;Council of Europe fund;7611 European organisations
4038;CEC;USE;European Commission;1006 EU institutions and European civil service
4044;CEC Commissioner;USE;European Commissioner;1006 EU institutions and European civil service
6709;CEDP;USE;common security and defence policy;1016 European construction
914;CEE;USE;Central and Eastern Europe;7206 Europe
5781;CEEC;USE;Central and Eastern European Countries;7206 Europe
5781;CEEC;USE;Central and Eastern European Countries;7231 economic geography
6207;CEEP;USE;European Centre of Enterprises with Public Participation;7611 European organisations
c_090e8e94;CEFR;USE;language skills;4406 employment
7185;CEFTA;;;7611 European organisations
8278;CEFTA countries;;;7231 economic geography
4587;CEMAC countries;USE;CAEMC countries;7231 economic geography
125;CEMR;USE;Council of European Municipalities and Regions;7626 non-governmental organisations
6093;CEN;USE;European Committee for Standardisation;7611 European organisations
8398;CEN-SAD;USE;Community of Sahel-Saharan States;7616 extra-European organisations
7986;CEPOL;;;1016 European construction
5248;CEPT;;;7611 European organisations
434909;CER;USE;clean development mechanism;5206 environmental policy
434966;CERC;USE;emission allowance;5206 environmental policy
5365;CERN;;;7611 European organisations
